Timestep 	 On terrace 	 At step  	 At kink
17100 	 33167 	 16461 	 8571 
17200 	 33241 	 16466 	 8570 
17300 	 33326 	 16473 	 8584 
17400 	 33380 	 16503 	 8614 
17500 	 33420 	 16566 	 8633 
17600 	 33518 	 16619 	 8630 
17700 	 33586 	 16656 	 8637 
17800 	 33642 	 16696 	 8648 
17900 	 33694 	 16717 	 8674 
18000 	 33768 	 16736 	 8705 
18100 	 33785 	 16775 	 8745 
18200 	 33833 	 16813 	 8745 
18300 	 33859 	 16853 	 8758 
18400 	 33882 	 16872 	 8767 
18500 	 33929 	 16924 	 8767 
18600 	 33992 	 16918 	 8804 
18700 	 34029 	 16891 	 8838 
18800 	 34105 	 16875 	 8860 
18900 	 34149 	 16892 	 8882 
19000 	 34165 	 16905 	 8890 
19100 	 34205 	 16937 	 8878 
19200 	 34251 	 16974 	 8873 
19300 	 34293 	 16992 	 8888 
19400 	 34330 	 17018 	 8899 
19500 	 34357 	 17034 	 8909 
19600 	 34381 	 17038 	 8911 
19700 	 34414 	 17044 	 8920 
19800 	 34420 	 17040 	 8934 
19900 	 34468 	 17020 	 8949 
20000 	 34507 	 17050 	 8946 
20100 	 34537 	 17090 	 8924 
20200 	 34564 	 17085 	 8952 
20300 	 34580 	 17096 	 8949 
20400 	 34623 	 17090 	 8964 
20500 	 34655 	 17068 	 8981 
20600 	 34657 	 17085 	 8985 
20700 	 34686 	 17079 	 8997 
20800 	 34695 	 17091 	 9003 
20900 	 34714 	 17100 	 9011 
21000 	 34721 	 17121 	 9015 
21100 	 34741 	 17116 	 9035 
21200 	 34742 	 17136 	 9043 
21300 	 34768 	 17143 	 9053 
21400 	 34785 	 17169 	 9035 
21500 	 34823 	 17155 	 9053 
21600 	 34846 	 17168 	 9053 
21700 	 34870 	 17167 	 9061 
21800 	 34877 	 17189 	 9066 
21900 	 34884 	 17200 	 9069 
22000 	 34896 	 17198 	 9075 
22100 	 34906 	 17188 	 9077 
22200 	 34918 	 17201 	 9072 
22300 	 34946 	 17199 	 9070 
22400 	 34991 	 17191 	 9077 
22500 	 35025 	 17191 	 9068 
22600 	 35051 	 17181 	 9072 
22700 	 35068 	 17191 	 9071 
22800 	 35069 	 17213 	 9064 
22900 	 35054 	 17223 	 9071 
23000 	 35080 	 17217 	 9074 
