Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
2700 	 0 	 7 	 438 	 1159 	 2527 	 4320 	 4487 	 0.0 	 0.0005410418921007883 	 0.03385376410573505 	 0.08958107899211624 	 0.1953161230483846 	 0.33390013912505795 	 0.34680785283660537
2800 	 0 	 12 	 479 	 1207 	 2712 	 4659 	 4770 	 0.0 	 0.0008671146759158899 	 0.03461232748030927 	 0.08721728448587325 	 0.1959679167569911 	 0.3366572729243442 	 0.3446780836765662
2900 	 0 	 10 	 504 	 1305 	 2816 	 4983 	 5050 	 0.0 	 0.0006817562039814562 	 0.034360512680665395 	 0.08896918461958003 	 0.19198254704117806 	 0.33971911644395963 	 0.34428688301063537
3000 	 0 	 6 	 508 	 1402 	 3009 	 5316 	 5356 	 0.0 	 0.00038468936333910367 	 0.032570366096044114 	 0.08988908123357056 	 0.1929217157145605 	 0.34083477591844585 	 0.3433993716740399
3100 	 0 	 12 	 546 	 1455 	 3238 	 5641 	 5687 	 0.0 	 0.0007238072260088063 	 0.032933228783400686 	 0.08776162615356776 	 0.19530731648470956 	 0.34024971349297306 	 0.3430243078593401
3200 	 0 	 10 	 576 	 1519 	 3443 	 6001 	 6011 	 0.0 	 0.0005694760820045558 	 0.03280182232346242 	 0.08650341685649203 	 0.19607061503416856 	 0.34174259681093394 	 0.3423120728929385
3300 	 0 	 12 	 605 	 1604 	 3630 	 6328 	 6340 	 0.0 	 0.0006479831524380366 	 0.03266915060208435 	 0.0866137480425509 	 0.19601490361250606 	 0.3417031157189913 	 0.34235109887142934
3400 	 0 	 14 	 664 	 1672 	 3778 	 6726 	 6703 	 0.0 	 0.0007158562151659253 	 0.033952037633583884 	 0.0854936851255305 	 0.19317891292120468 	 0.3439177788004295 	 0.3427417293040855
3500 	 0 	 15 	 672 	 1830 	 3975 	 7073 	 7073 	 0.0 	 0.0007268146138191686 	 0.03256129469909875 	 0.08867138288593857 	 0.19260587266207965 	 0.34271731756953194 	 0.34271731756953194
3600 	 0 	 20 	 737 	 1894 	 4190 	 7394 	 7434 	 0.0 	 0.0009229775254972542 	 0.03401172181457381 	 0.08740597166458997 	 0.19336379159167474 	 0.34122479117633486 	 0.34307074622732936
3700 	 0 	 19 	 764 	 1966 	 4471 	 7769 	 7828 	 0.0 	 0.0008327124512424946 	 0.03348380593417189 	 0.08616382521803918 	 0.1959503878686944 	 0.34049173861594423 	 0.34307752991190776
3800 	 0 	 13 	 811 	 2138 	 4609 	 8143 	 8176 	 0.0 	 0.0005441607367099205 	 0.03394725826705735 	 0.0894935119296777 	 0.19292591042277105 	 0.34085391377145247 	 0.34223524487233153
3900 	 0 	 16 	 840 	 2203 	 4912 	 8483 	 8562 	 0.0 	 0.0006395906619763352 	 0.0335785097537576 	 0.08806363927086665 	 0.1963543332267349 	 0.3391029740965782 	 0.34226095299008635
4000 	 0 	 17 	 864 	 2371 	 5058 	 8958 	 8954 	 0.0 	 0.000648310578903211 	 0.03294943177484555 	 0.09042025779879491 	 0.19289146518190833 	 0.34162153916558613 	 0.34146899549996185
4100 	 0 	 23 	 931 	 2415 	 5356 	 9322 	 9358 	 0.0 	 0.0008392629082284254 	 0.03397190293742018 	 0.08812260536398467 	 0.1954387885422368 	 0.3401569056741471 	 0.34147053457398285
4200 	 0 	 29 	 922 	 2552 	 5592 	 9737 	 9735 	 0.0 	 0.0010151573493891552 	 0.03227500262540694 	 0.08933384674624567 	 0.19575034130290195 	 0.34084783141386915 	 0.34077782056218714
4300 	 0 	 18 	 965 	 2656 	 5858 	 10164 	 10144 	 0.0 	 0.0006039255158530448 	 0.03237711793323268 	 0.0891125650058715 	 0.19654420399261868 	 0.341016607951686 	 0.34034557960073814
4400 	 0 	 21 	 1009 	 2740 	 6093 	 10569 	 10544 	 0.0 	 0.0006779442148760331 	 0.03257360537190083 	 0.08845557851239669 	 0.1967006714876033 	 0.34119963842975204 	 0.34039256198347106
4500 	 0 	 25 	 1074 	 2823 	 6382 	 11022 	 10964 	 0.0 	 0.000774233508826262 	 0.033261071539176214 	 0.0874264478166615 	 0.19764633013316815 	 0.3413440693713224 	 0.33954784763084545
4600 	 0 	 22 	 1093 	 2996 	 6564 	 11480 	 11373 	 0.0 	 0.0006561679790026247 	 0.03259961822953949 	 0.08935814841326652 	 0.19577666428060128 	 0.3424003817704605 	 0.33920901932712955
4700 	 0 	 22 	 1145 	 3119 	 6807 	 11941 	 11791 	 0.0 	 0.0006317300789662599 	 0.03287867910983489 	 0.08956209619526202 	 0.1954630294328787 	 0.3428858578607322 	 0.3385786073223259
4800 	 0 	 24 	 1197 	 3238 	 7037 	 12410 	 12218 	 0.0 	 0.0006643782526851954 	 0.03313586535267412 	 0.08963569925811095 	 0.19480124017273834 	 0.3435389214926365 	 0.3382238954711549
4900 	 0 	 24 	 1215 	 3384 	 7317 	 12846 	 12667 	 0.0 	 0.0006408031399353857 	 0.0324406589592289 	 0.09035324273088938 	 0.1953648572878007 	 0.3429898806504152 	 0.33821055723173044
5000 	 0 	 26 	 1247 	 3484 	 7683 	 13314 	 13138 	 0.0 	 0.0006685179471356578 	 0.03206314923377558 	 0.08958140491617814 	 0.19754705337858686 	 0.34233261339092874 	 0.33780726113339504
5100 	 0 	 28 	 1294 	 3603 	 7934 	 13841 	 13597 	 0.0 	 0.0006948408070079658 	 0.032111571581010995 	 0.08941112241606075 	 0.1968881058143286 	 0.34347470034990196 	 0.3374196590316897
5200 	 0 	 23 	 1362 	 3672 	 8201 	 14351 	 14061 	 0.0 	 0.0005519558435325174 	 0.03268538516918647 	 0.08812095032397409 	 0.19680825533957283 	 0.3443964482841373 	 0.33743700503959684
5300 	 0 	 25 	 1401 	 3817 	 8470 	 14816 	 14574 	 0.0 	 0.0005800060320627334 	 0.032503538036795586 	 0.08855532097533815 	 0.1965060436628541 	 0.3437347748416584 	 0.3381203164512911
5400 	 0 	 26 	 1473 	 3965 	 8712 	 15301 	 15068 	 0.0 	 0.0005836794253002582 	 0.03306768436412617 	 0.08901111235828937 	 0.19557750589291728 	 0.34349534178920194 	 0.338264676170165
5500 	 0 	 30 	 1510 	 4086 	 9015 	 15818 	 15579 	 0.0 	 0.0006516356053694774 	 0.03279899213693036 	 0.08875276945132282 	 0.19581649941352797 	 0.3435857335244798 	 0.3383943698683696
5600 	 0 	 24 	 1522 	 4245 	 9322 	 16329 	 16094 	 0.0 	 0.0005048805116122518 	 0.0320178391114103 	 0.08930074049141704 	 0.19610400538539213 	 0.3435080780881858 	 0.3385644564119825
5700 	 0 	 27 	 1565 	 4345 	 9597 	 16860 	 16614 	 0.0 	 0.0005509304603330069 	 0.031933561867450215 	 0.08865899444988573 	 0.19582517140058767 	 0.3440254652301665 	 0.3390058765915769
5800 	 0 	 36 	 1634 	 4455 	 9893 	 17395 	 17128 	 0.0 	 0.0007122929898498249 	 0.03233018737262816 	 0.08814625749391583 	 0.19574207079400882 	 0.34417601551215843 	 0.3388931758374389
5900 	 0 	 31 	 1672 	 4642 	 10220 	 17869 	 17654 	 0.0 	 0.0005951466748579327 	 0.032099523882660116 	 0.0891184149900169 	 0.19620641990477652 	 0.3430540623560129 	 0.3389264321916756
6000 	 0 	 35 	 1731 	 4786 	 10505 	 18413 	 18151 	 0.0 	 0.0006527293411163537 	 0.03228212827064023 	 0.08925607504522481 	 0.19591204938363702 	 0.34339158165644057 	 0.338505436302941
6100 	 0 	 29 	 1794 	 4920 	 10811 	 18993 	 18652 	 0.0 	 0.0005253718364463124 	 0.03250058877878222 	 0.08913204949365025 	 0.19585499737314083 	 0.34408232033189007 	 0.3379046721860903
6200 	 0 	 38 	 1836 	 5076 	 11210 	 19458 	 19202 	 0.0 	 0.0006687785990848292 	 0.032312565997888065 	 0.08933474128827877 	 0.19728968673002464 	 0.34244984160506864 	 0.3379443857796551
6300 	 0 	 47 	 1901 	 5202 	 11495 	 20027 	 19741 	 0.0 	 0.0008046154109530413 	 0.0325441254515262 	 0.08905551846335576 	 0.19678838614691935 	 0.34285176245013954 	 0.3379555920771061
6400 	 0 	 41 	 1988 	 5402 	 11795 	 20547 	 20314 	 0.0 	 0.0006823439346281226 	 0.03308535956196848 	 0.08990297402100288 	 0.1962987002180172 	 0.34195416645863497 	 0.33807645580574835
6500 	 0 	 37 	 2007 	 5609 	 12196 	 21056 	 20867 	 0.0 	 0.0005989768827300395 	 0.032490448747005116 	 0.09080165770899437 	 0.1974357313993395 	 0.3408664119665868 	 0.33780677329534414
6600 	 0 	 39 	 2040 	 5762 	 12597 	 21635 	 21444 	 0.0 	 0.0006140088480249382 	 0.032117385896689075 	 0.09071587134153061 	 0.19832485791205504 	 0.3406174724876805 	 0.3376104035140199
6700 	 0 	 47 	 2091 	 5898 	 12945 	 22255 	 21974 	 0.0 	 0.0007207483514798344 	 0.03206563410519859 	 0.09044625057506517 	 0.19851249808311608 	 0.3412820119613556 	 0.3369728569237847
6800 	 0 	 46 	 2155 	 6046 	 13235 	 22942 	 22494 	 0.0 	 0.0006874084700678443 	 0.03220359245643922 	 0.09034938282674318 	 0.19777937176843302 	 0.3428375026151409 	 0.33614274186317583
6900 	 0 	 39 	 2201 	 6240 	 13568 	 23585 	 23023 	 0.0 	 0.0005680494057329294 	 0.03205837800046609 	 0.0908879049172687 	 0.19762293171754836 	 0.3435242367746446 	 0.33533849918433933
7000 	 0 	 43 	 2264 	 6354 	 14001 	 24169 	 23564 	 0.0 	 0.0006108388379856524 	 0.03216137509766319 	 0.09026209247815896 	 0.19889196675900278 	 0.3433340436110519 	 0.3347396832161375
7100 	 0 	 48 	 2353 	 6484 	 14304 	 24766 	 24068 	 0.0 	 0.0006664537717118143 	 0.03267011926745623 	 0.09002679699540425 	 0.19860322397012065 	 0.3438623772961415 	 0.33417102869916554
7200 	 0 	 40 	 2369 	 6676 	 14701 	 25332 	 24679 	 0.0 	 0.0005420274536905294 	 0.0321015759448216 	 0.09046438202094936 	 0.19920863991761184 	 0.3432659864222123 	 0.3344173882407144
7300 	 0 	 37 	 2468 	 6771 	 15052 	 25984 	 25230 	 0.0 	 0.0004897937571152471 	 0.03267056736649811 	 0.08963225755209023 	 0.19925339546212703 	 0.34396759418601575 	 0.3339863916761537
7400 	 0 	 43 	 2459 	 6950 	 15384 	 26653 	 25785 	 0.0 	 0.0005564614229883273 	 0.03182182881693713 	 0.08993969511090405 	 0.19908377979656805 	 0.34491549550948575 	 0.3336827393431167
7500 	 0 	 37 	 2520 	 7078 	 15744 	 27301 	 26341 	 0.0 	 0.0004682299641867352 	 0.031890257020285744 	 0.08957112666253274 	 0.19923817719340428 	 0.34549043925032585 	 0.3333417699092646
7600 	 0 	 44 	 2595 	 7158 	 16178 	 27910 	 26950 	 0.0 	 0.0005443186738417764 	 0.03210243087771386 	 0.08855075153089627 	 0.20013607966846045 	 0.3452712315209996 	 0.33339518772808807
7700 	 0 	 51 	 2629 	 7418 	 16450 	 28531 	 27507 	 0.0 	 0.0006175380815150268 	 0.031833482672607945 	 0.08982151938585232 	 0.1991863027631802 	 0.34547017654323975 	 0.33307098055360473
7800 	 0 	 51 	 2714 	 7561 	 16762 	 29108 	 28118 	 0.0 	 0.0006048817515477856 	 0.03218919752354295 	 0.08967668477358445 	 0.19880446900870555 	 0.34523329458927343 	 0.3334914723533458
7900 	 0 	 55 	 2725 	 7773 	 17076 	 29760 	 28697 	 0.0 	 0.000638895987733197 	 0.0316543921195084 	 0.09029342750272983 	 0.19835977975512858 	 0.34570081081708987 	 0.3333526938178101
8000 	 0 	 54 	 2775 	 7934 	 17482 	 30354 	 29296 	 0.0 	 0.0006143694180556345 	 0.031571761761192335 	 0.09026679560839639 	 0.19889641048978896 	 0.3453438762159395 	 0.3333067865066272
8100 	 0 	 52 	 2851 	 8094 	 17858 	 30912 	 29913 	 0.0 	 0.0005798394290811776 	 0.03179081177520071 	 0.0902542372881356 	 0.19913024085637823 	 0.34469223907225693 	 0.3335526315789474
8200 	 0 	 51 	 2914 	 8277 	 18187 	 31526 	 30491 	 0.0 	 0.0005577061872580539 	 0.0318658005817641 	 0.09051243356735122 	 0.19888240054239661 	 0.3447499070489688 	 0.3334317520722612
8300 	 0 	 51 	 2999 	 8404 	 18567 	 32141 	 31073 	 0.0 	 0.0005470048801415777 	 0.0321660320695018 	 0.09013782377862391 	 0.19914195312918967 	 0.3447310559339304 	 0.33327613020861263
8400 	 0 	 61 	 3081 	 8548 	 18954 	 32731 	 31677 	 0.0 	 0.0006417539872911669 	 0.03241383663678828 	 0.08992972267811303 	 0.19940664057568488 	 0.34434835668897024 	 0.3332596894331524
8500 	 0 	 51 	 3162 	 8766 	 19258 	 33375 	 32278 	 0.0 	 0.0005263701104345134 	 0.03263494684693983 	 0.09047373309939107 	 0.19876148209309527 	 0.34446279285788006 	 0.33314067499225924
8600 	 0 	 68 	 3214 	 8914 	 19687 	 33934 	 32870 	 0.0 	 0.0006890471895994407 	 0.032567612755479446 	 0.09032598011896197 	 0.19948929443594393 	 0.3438548137039326 	 0.33307325179608255
8700 	 0 	 54 	 3287 	 9143 	 20033 	 34563 	 33482 	 0.0 	 0.0005369821602593424 	 0.03268630297726775 	 0.09091903502316978 	 0.1992104373421372 	 0.34369841490821584 	 0.3329488275889501
8800 	 0 	 61 	 3331 	 9265 	 20456 	 35188 	 34057 	 0.0 	 0.0005959475566150178 	 0.03254264444401024 	 0.09051564118095312 	 0.19984759373961977 	 0.3437738134781844 	 0.3327243596006174
8900 	 0 	 73 	 3372 	 9473 	 20716 	 35896 	 34624 	 0.0 	 0.0007008852276436815 	 0.0323751368166369 	 0.09095185974614513 	 0.19889778597077404 	 0.3446435086506519 	 0.3324308235881483
9000 	 0 	 65 	 3482 	 9601 	 21139 	 36426 	 35207 	 0.0 	 0.0006136706948640483 	 0.032873867069486404 	 0.09064388217522659 	 0.1995751510574018 	 0.3439010574018127 	 0.33239237160120844
9100 	 0 	 60 	 3573 	 9770 	 21471 	 37040 	 35860 	 0.0 	 0.0005567205448438399 	 0.033152708445450665 	 0.09065266205207193 	 0.1992224469723681 	 0.34368214968359717 	 0.3327333123016683
9200 	 0 	 57 	 3657 	 9963 	 21819 	 37650 	 36464 	 0.0 	 0.0005200255451144969 	 0.03336374418392483 	 0.09089499133290758 	 0.19906030471672292 	 0.34349055743089135 	 0.3326703767904388
9300 	 0 	 70 	 3700 	 10096 	 22258 	 38202 	 37013 	 0.0 	 0.00062871051473428 	 0.03323184149309766 	 0.09067801938224701 	 0.1999119805279372 	 0.34311427262684235 	 0.3324351754551415
9400 	 0 	 73 	 3702 	 10318 	 22610 	 38851 	 37542 	 0.0 	 0.0006454693357855274 	 0.03273325316545236 	 0.09123222748815166 	 0.19991865317959964 	 0.34352231732333594 	 0.3319480795076749
9500 	 0 	 76 	 3763 	 10403 	 23063 	 39455 	 38133 	 0.0 	 0.000661485033901108 	 0.03275221292855091 	 0.09054511589043719 	 0.20073459653764808 	 0.3434064738495818 	 0.33190011575988093
9600 	 0 	 74 	 3865 	 10588 	 23377 	 40072 	 38699 	 0.0 	 0.0006342404113991858 	 0.03312620527105207 	 0.09074780372830513 	 0.2003599742875509 	 0.34344975358902935 	 0.3316820227126634
9700 	 0 	 72 	 3907 	 10829 	 23673 	 40653 	 39245 	 0.0 	 0.000608215984253964 	 0.03300416459000329 	 0.09147737352064134 	 0.1999763471561679 	 0.3434139501093944 	 0.3315199486395391
9800 	 0 	 55 	 4027 	 10976 	 24010 	 41277 	 39835 	 0.0 	 0.0004576468630387752 	 0.033508071226493595 	 0.09132967215842902 	 0.1997836578465635 	 0.3434598102845731 	 0.33146114162090196
9900 	 0 	 73 	 4091 	 11105 	 24356 	 41868 	 40362 	 0.0 	 0.0005990726683353165 	 0.033572688851503836 	 0.09113290386114645 	 0.19987690287636944 	 0.3435886914775758 	 0.33122974026506913
10000 	 0 	 73 	 4117 	 11328 	 24688 	 42487 	 40955 	 0.0 	 0.0005903856107660455 	 0.03329613095238095 	 0.09161490683229814 	 0.19966356107660455 	 0.3436125129399586 	 0.33122250258799174
10100 	 0 	 76 	 4161 	 11513 	 25061 	 43039 	 41534 	 0.0 	 0.0006061379442353092 	 0.03318605244688318 	 0.09182192305238308 	 0.19987398711159318 	 0.3432575129203088 	 0.33125438652459643
10200 	 0 	 84 	 4189 	 11662 	 25438 	 43570 	 42066 	 0.0 	 0.0006613704540623105 	 0.03298191466746451 	 0.09182026470565079 	 0.20028501917186972 	 0.3430465557558913 	 0.33120487524506137
10300 	 0 	 90 	 4270 	 11746 	 25802 	 44226 	 42601 	 0.0 	 0.0006991105759894357 	 0.03316891288305434 	 0.09124169806191013 	 0.20042723424088243 	 0.3435429370412087 	 0.33092010719695497
10400 	 0 	 83 	 4340 	 11897 	 26130 	 44778 	 43165 	 0.0 	 0.0006365372374283895 	 0.03328399530649651 	 0.09123956040585 	 0.20039419293980504 	 0.34340800503094493 	 0.3310377090794751
10500 	 0 	 85 	 4408 	 12112 	 26384 	 45433 	 43717 	 0.0 	 0.0006432620195400298 	 0.03335881155449943 	 0.09166105389022167 	 0.19966853086522526 	 0.3438273333383785 	 0.3308410083321351
10600 	 0 	 88 	 4481 	 12341 	 26626 	 46027 	 44254 	 0.0 	 0.0006576145033889565 	 0.03348602942824903 	 0.09222296120821719 	 0.19897322462766315 	 0.34395480394867617 	 0.3307053662838055
10700 	 0 	 93 	 4536 	 12483 	 26993 	 46574 	 44740 	 0.0 	 0.0006867573974109985 	 0.033496038222110634 	 0.09218056550410209 	 0.19932948847650625 	 0.3439251508281703 	 0.33038199957169967
10800 	 0 	 91 	 4618 	 12536 	 27451 	 47115 	 45292 	 0.0 	 0.0006637345645244815 	 0.03368270570301161 	 0.09143490660306484 	 0.2002217311072697 	 0.3436467473359445 	 0.3303501746861848
10900 	 0 	 80 	 4702 	 12678 	 27735 	 47758 	 45757 	 0.0 	 0.0005767428447840819 	 0.033898060702184415 	 0.09139932232715738 	 0.1999495350010814 	 0.34430105976497727 	 0.3298752793598154
11000 	 0 	 69 	 4737 	 12930 	 27992 	 48361 	 46253 	 0.0 	 0.000491656097248151 	 0.03375325989368828 	 0.09213207735389263 	 0.19945561556768465 	 0.3445939205654758 	 0.3295734705220105
11100 	 0 	 73 	 4781 	 13166 	 28284 	 48875 	 46775 	 0.0 	 0.0005142510954252786 	 0.033679924482578866 	 0.0927483551009482 	 0.19924764360285727 	 0.3443016751905547 	 0.3295081505276357
11200 	 0 	 83 	 4864 	 13213 	 28650 	 49462 	 47236 	 0.0 	 0.0005783649692003233 	 0.03389358084566714 	 0.09207152214510689 	 0.19964043816372606 	 0.3446637121275469 	 0.32915238174875266
11300 	 0 	 85 	 4951 	 13325 	 29070 	 49888 	 47693 	 0.0 	 0.0005861583868921193 	 0.03414200204121038 	 0.09188894712161752 	 0.2004661683171048 	 0.3440267012385182 	 0.328890022894657
11400 	 0 	 86 	 4956 	 13548 	 29347 	 50430 	 48178 	 0.0 	 0.0005868504554914873 	 0.03381896345832338 	 0.09244941826742639 	 0.20025930601521716 	 0.34412637756320585 	 0.32875908424033573
11500 	 0 	 83 	 4969 	 13707 	 29681 	 50960 	 48608 	 0.0 	 0.0005607804983514405 	 0.033572509594076 	 0.09260985892654451 	 0.2005364574887844 	 0.34430571320469167 	 0.328414680287552
11600 	 0 	 96 	 5076 	 13777 	 30003 	 51531 	 49081 	 0.0 	 0.0006418656896044503 	 0.03393864833783531 	 0.092114412559172 	 0.20060308630419085 	 0.34454146719798884 	 0.3281605199112086
11700 	 0 	 90 	 5091 	 13889 	 30394 	 52031 	 49499 	 0.0 	 0.0005960501741791065 	 0.03371657151939812 	 0.09198378743526232 	 0.20129276659999734 	 0.34458985125236763 	 0.3278209730187954
11800 	 0 	 96 	 5104 	 14058 	 30698 	 52554 	 49919 	 0.0 	 0.0006298014157410991 	 0.03348444193690177 	 0.0922265448175872 	 0.20139212354604438 	 0.34477691252976794 	 0.32749017575395756
11900 	 0 	 90 	 5209 	 14130 	 31075 	 53012 	 50373 	 0.0 	 0.0005848371228612832 	 0.03384907303316027 	 0.09181942828922145 	 0.20193126214349305 	 0.3444820617458038 	 0.3273333376654602
12000 	 0 	 103 	 5207 	 14294 	 31384 	 53499 	 50790 	 0.0 	 0.0006633306928907695 	 0.03353362056196346 	 0.09205484392408406 	 0.202116218113436 	 0.34453911397051723 	 0.3270928727371085
12100 	 0 	 96 	 5208 	 14410 	 31747 	 53978 	 51199 	 0.0 	 0.0006128781010993501 	 0.03324863698463974 	 0.09199555663376703 	 0.2026775112041778 	 0.3446034806368825 	 0.3268619364394336
12200 	 0 	 99 	 5320 	 14470 	 32065 	 54517 	 51649 	 0.0 	 0.0006261067543637743 	 0.033645332658740194 	 0.09151277510751328 	 0.20278902099671137 	 0.3447824437136352 	 0.32664432076903616
12300 	 0 	 108 	 5343 	 14664 	 32307 	 55008 	 52046 	 0.0 	 0.0006772178885851162 	 0.033503473876947 	 0.09195113998344578 	 0.20258220672703103 	 0.3449296445860192 	 0.32635631693797185
12400 	 0 	 95 	 5429 	 14751 	 32590 	 55466 	 52430 	 0.0 	 0.0005909393447415729 	 0.0337706284484421 	 0.09175732920297834 	 0.20272329731713537 	 0.3450214915309061 	 0.32613631415579647
12500 	 0 	 97 	 5408 	 14934 	 32886 	 55909 	 52825 	 0.0 	 0.0005985474425980661 	 0.033370562572890124 	 0.09215162379133525 	 0.20292609481731963 	 0.3449916388475802 	 0.32596153252827675
12600 	 0 	 90 	 5493 	 15099 	 33109 	 56325 	 53243 	 0.0 	 0.0005509338328466751 	 0.03362532826474207 	 0.0924283326905772 	 0.20267631413022852 	 0.34479275705654416 	 0.3259263340250614
12700 	 0 	 90 	 5478 	 15258 	 33337 	 56830 	 53613 	 0.0 	 0.0005467601424006415 	 0.033279467334119045 	 0.09269406947498876 	 0.20252603185789098 	 0.34524865436253843 	 0.3257050168280622
12800 	 0 	 105 	 5503 	 15407 	 33524 	 57286 	 53991 	 0.0 	 0.0006332320162107396 	 0.033187388430549525 	 0.0929162445119892 	 0.20217590582332223 	 0.345479326482366 	 0.3256079027355623
12900 	 0 	 109 	 5537 	 15507 	 33820 	 57684 	 54373 	 0.0 	 0.0006525773813087469 	 0.03314973358079387 	 0.0928396096509609 	 0.20247859665928275 	 0.3453511345267317 	 0.32552834820092197
13000 	 0 	 110 	 5620 	 15557 	 34052 	 58115 	 54728 	 0.0 	 0.0006540533469693546 	 0.033416180090616115 	 0.09250098108002046 	 0.20247113246364057 	 0.34554827508294583 	 0.32540937793580765
13100 	 0 	 106 	 5687 	 15621 	 34328 	 58485 	 55084 	 0.0 	 0.0006260668237740017 	 0.033589075724554225 	 0.09226216843560076 	 0.2027511502501314 	 0.34542941687191026 	 0.32534212189402933
13200 	 0 	 111 	 5747 	 15679 	 34609 	 58844 	 55449 	 0.0 	 0.0006512593948568109 	 0.0337188084886675 	 0.09199185632396341 	 0.20305798555494928 	 0.3452496200986863 	 0.32533047013887667
13300 	 0 	 111 	 5787 	 15745 	 34890 	 59228 	 55780 	 0.0 	 0.0006470756262351274 	 0.03373537521642057 	 0.09178563725290163 	 0.20339160900309547 	 0.34527022694283 	 0.3251700759585172
13400 	 0 	 113 	 5804 	 15878 	 35058 	 59581 	 56116 	 0.0 	 0.0006548826427122573 	 0.03363662706461895 	 0.09201970443349754 	 0.20317589104607361 	 0.3452970153578673 	 0.3252158794552304
13500 	 0 	 112 	 5867 	 16001 	 35255 	 59919 	 56455 	 0.0 	 0.0006451278447545922 	 0.03379433093906422 	 0.09216688074926992 	 0.20307126934663525 	 0.3451376368736644 	 0.32518475424661164
13600 	 0 	 105 	 5939 	 16152 	 35397 	 60277 	 56779 	 0.0 	 0.0006012058471562963 	 0.034005347869154705 	 0.09248263660255712 	 0.20267507973134688 	 0.3451322366575245 	 0.32510349329226046
