Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
16500 	 0 	 128 	 6578 	 18110 	 39935 	 67656 	 63402 	 0.0 	 0.0006536982467608741 	 0.033593961462445546 	 0.09248808788155805 	 0.2039487459718399 	 0.34552037955354453 	 0.3237951268838511
16600 	 0 	 132 	 6590 	 18167 	 40029 	 67809 	 63534 	 0.0 	 0.0006725737665659505 	 0.03357773577022435 	 0.0925655122515426 	 0.20395799471112447 	 0.3455042010384131 	 0.3237219824621295
16700 	 0 	 124 	 6629 	 18157 	 40166 	 67991 	 63667 	 0.0 	 0.0006302926794555084 	 0.033695243323472304 	 0.09229213049091667 	 0.20416399808878993 	 0.34559862555531834 	 0.32361970986204724
16800 	 0 	 126 	 6645 	 18209 	 40252 	 68131 	 63810 	 0.0 	 0.0006390327276046923 	 0.033701368848676035 	 0.09235037251550669 	 0.2041455980281276 	 0.34553919654313725 	 0.32362443133694774
16900 	 0 	 129 	 6682 	 18200 	 40343 	 68311 	 63941 	 0.0 	 0.0006528141858040748 	 0.03381476270963432 	 0.09210246652429582 	 0.2041587806038278 	 0.34569294454621824 	 0.32357823143021974
17000 	 0 	 121 	 6677 	 18276 	 40434 	 68463 	 64082 	 0.0 	 0.0006109475746391117 	 0.03371319798235826 	 0.09227832953805294 	 0.20415747299965162 	 0.3456801967150207 	 0.32355985519027736
17100 	 0 	 119 	 6724 	 18289 	 40516 	 68610 	 64218 	 0.0 	 0.0005995687135976138 	 0.0338781515145408 	 0.09214716136963663 	 0.20413551260605817 	 0.3456841129406074 	 0.32355549285555935
17200 	 0 	 115 	 6745 	 18304 	 40626 	 68725 	 64364 	 0.0 	 0.0005782410410350012 	 0.0339150941024442 	 0.0920358610009101 	 0.20427496115728658 	 0.34556187430548224 	 0.32363396839284186
17300 	 0 	 114 	 6763 	 18316 	 40738 	 68844 	 64471 	 0.0 	 0.0005721570320106802 	 0.033942964977966936 	 0.0919265631430493 	 0.20446081728114993 	 0.34552262027844977 	 0.3235748772873734
17400 	 0 	 121 	 6746 	 18394 	 40826 	 68919 	 64598 	 0.0 	 0.0006062002765475641 	 0.033796917897436926 	 0.09215246187451154 	 0.2045349792589327 	 0.34527865173042627 	 0.32363078896214503
17500 	 0 	 128 	 6734 	 18437 	 40880 	 69081 	 64690 	 0.0 	 0.0006401600400100026 	 0.03367841960490123 	 0.09220805201300325 	 0.20445111277819455 	 0.3454913728432108 	 0.32353088272068015
17600 	 0 	 137 	 6714 	 18508 	 40968 	 69203 	 64789 	 0.0 	 0.0006839091648820132 	 0.03351654111691851 	 0.09239263374917007 	 0.2045138004882213 	 0.3454639849440143 	 0.32342913053679384
17700 	 0 	 132 	 6737 	 18541 	 41017 	 69327 	 64885 	 0.0 	 0.0006578980158393931 	 0.0335777191871969 	 0.09240975084604688 	 0.20443184027033628 	 0.3455310283643758 	 0.32339176331620473
17800 	 0 	 131 	 6727 	 18594 	 41073 	 69439 	 64986 	 0.0 	 0.0006519034585717841 	 0.03347598905200298 	 0.09253048021895995 	 0.20439412789251057 	 0.3455536203035581 	 0.3233938790743966
17900 	 0 	 129 	 6731 	 18625 	 41146 	 69542 	 65084 	 0.0 	 0.0006409714941592094 	 0.03344479943554758 	 0.0925433649512812 	 0.20444506278042504 	 0.3455382918358119 	 0.32338750950277506
18000 	 0 	 130 	 6747 	 18647 	 41200 	 69661 	 65178 	 0.0 	 0.0006449596404101943 	 0.03347340533728908 	 0.09251201857483764 	 0.20440259373000005 	 0.3456041039278042 	 0.32336291878965884
18100 	 0 	 130 	 6773 	 18662 	 41253 	 69778 	 65286 	 0.0 	 0.0006439405197095333 	 0.03354930107686668 	 0.09244013829861007 	 0.20434214045828752 	 0.3456375506483986 	 0.3233869289981276
18200 	 0 	 134 	 6765 	 18700 	 41296 	 69872 	 65381 	 0.0 	 0.0006628806616934128 	 0.033465579674298036 	 0.09250648040049865 	 0.20428596869620277 	 0.34564774323762787 	 0.32343134732967926
18300 	 0 	 124 	 6778 	 18719 	 41362 	 69953 	 65471 	 0.0 	 0.000612627033650022 	 0.03348698414580523 	 0.09248197937818356 	 0.20435064004703396 	 0.3456056361687096 	 0.32346213322661765
18400 	 0 	 119 	 6779 	 18757 	 41413 	 70024 	 65552 	 0.0 	 0.0005872367304237974 	 0.033452754584394305 	 0.09256133909713586 	 0.20436331694992202 	 0.34555180513610073 	 0.32348354750202324
18500 	 0 	 121 	 6775 	 18812 	 41440 	 70119 	 65646 	 0.0 	 0.0005963146767333783 	 0.033388693676600315 	 0.09270968346039929 	 0.2042254562300099 	 0.34556189105675833 	 0.3235179608994988
18600 	 0 	 127 	 6800 	 18810 	 41488 	 70221 	 65727 	 0.0 	 0.000625083057295999 	 0.03346901409143931 	 0.09258119927352552 	 0.20420036126847563 	 0.34562171154631766 	 0.3235026307629459
18700 	 0 	 126 	 6809 	 18839 	 41549 	 70275 	 65804 	 0.0 	 0.0006194629354676945 	 0.03347558037777406 	 0.09261954159742776 	 0.20427036115672412 	 0.34549807769835106 	 0.3235169762342553
18800 	 0 	 126 	 6813 	 18865 	 41578 	 70391 	 65869 	 0.0 	 0.0006187328743579418 	 0.033455770420640144 	 0.09263806091081407 	 0.20417202738138499 	 0.34566052189626895 	 0.3234548865165339
18900 	 0 	 123 	 6811 	 18907 	 41618 	 70456 	 65955 	 0.0 	 0.0006033256486976995 	 0.033408544660813264 	 0.09274047186932849 	 0.20413989306911268 	 0.3455927797125619 	 0.32351498503948595
19000 	 0 	 120 	 6816 	 18941 	 41652 	 70533 	 66027 	 0.0 	 0.0005879787739662599 	 0.03339719436128356 	 0.09280754964745773 	 0.2040874324436888 	 0.3455992238680184 	 0.3235206209055853
19100 	 0 	 120 	 6809 	 18979 	 41696 	 70605 	 66096 	 0.0 	 0.0005873571376128827 	 0.033327622916717654 	 0.09289542595629084 	 0.20408702674922297 	 0.34558625584297986 	 0.3235163113971758
19200 	 0 	 122 	 6819 	 18983 	 41732 	 70713 	 66155 	 0.0 	 0.0005965070114020848 	 0.0333408304159903 	 0.09281551309381784 	 0.20404451311337546 	 0.34574426473176745 	 0.3234583716336469
19300 	 0 	 120 	 6841 	 18983 	 41792 	 70769 	 66220 	 0.0 	 0.0005861521553303211 	 0.03341555745512272 	 0.09272438637196238 	 0.2041372572963732 	 0.34567834900476246 	 0.3234582977164489
19400 	 0 	 123 	 6839 	 18980 	 41852 	 70841 	 66288 	 0.0 	 0.000600225450535079 	 0.03337351102609273 	 0.09262015488744553 	 0.20423280939670022 	 0.3456957003362239 	 0.3234775989030026
19500 	 0 	 122 	 6853 	 19015 	 41884 	 70885 	 66350 	 0.0 	 0.0005948056886826029 	 0.0334115031519826 	 0.09270680467458765 	 0.20420361856378805 	 0.3455967314939861 	 0.32348653642697295
19600 	 0 	 121 	 6857 	 19042 	 41912 	 70929 	 66405 	 0.0 	 0.0005894790174700145 	 0.03340543489910652 	 0.09276743347656212 	 0.20418383950581198 	 0.345546753968022 	 0.3235070591330274
19700 	 0 	 122 	 6866 	 19056 	 41936 	 70984 	 66448 	 0.0 	 0.0005939283001966779 	 0.03342550581270812 	 0.0927696531848188 	 0.20415555079547446 	 0.3455689054193523 	 0.3234864564874496
19800 	 0 	 124 	 6865 	 19100 	 41935 	 71056 	 66499 	 0.0 	 0.0006031744487520613 	 0.03339348863453952 	 0.09290832234809976 	 0.20398484280982007 	 0.3456384163752134 	 0.32347175538357514
19900 	 0 	 121 	 6866 	 19134 	 41965 	 71111 	 66547 	 0.0 	 0.000588109495295124 	 0.03337156855120927 	 0.09299906680146201 	 0.20396706586826346 	 0.345628548098608 	 0.32344564118516217
20000 	 0 	 116 	 6861 	 19160 	 42005 	 71174 	 66595 	 0.0 	 0.0005633501852742204 	 0.03332022087212436 	 0.09304990991253503 	 0.20399590114175542 	 0.34565419040264966 	 0.3234164274856613
20100 	 0 	 115 	 6854 	 19183 	 42034 	 71238 	 66640 	 0.0 	 0.000558079043403991 	 0.033261510986877865 	 0.09309243730103268 	 0.2039851696560292 	 0.34570812951316093 	 0.3233946734994953
20200 	 0 	 115 	 6875 	 19184 	 42075 	 71275 	 66697 	 0.0 	 0.0005576541671313785 	 0.033338020861115016 	 0.09302641341085534 	 0.2040286876700239 	 0.345624354454687 	 0.32342486943618737
20300 	 0 	 117 	 6894 	 19202 	 42077 	 71331 	 66750 	 0.0 	 0.0005669401224009188 	 0.03340585644300798 	 0.0930460190627559 	 0.20389008145524323 	 0.3456444946237601 	 0.32344660829283184
20400 	 0 	 115 	 6904 	 19212 	 42114 	 71385 	 66807 	 0.0 	 0.0005568009606027008 	 0.03342742462609605 	 0.09301965265303554 	 0.2039053535201925 	 0.3456281441097721 	 0.32346262413030114
20500 	 0 	 116 	 6927 	 19187 	 42171 	 71411 	 66853 	 0.0 	 0.0005612948491520093 	 0.03351801224203421 	 0.09284107129896209 	 0.2040548714102533 	 0.3455398833861563 	 0.323484866813442
20600 	 0 	 115 	 6935 	 19213 	 42171 	 71466 	 66893 	 0.0 	 0.0005561116672227783 	 0.03353595141034755 	 0.09290933445522817 	 0.20392856624740682 	 0.34559196878037457 	 0.3234780674394201
